檔位,測試電流(A),閥值(A)
100mA,-0.1,0
100mA,-0.07,0
100mA,-0.04,0
100mA,-0.01,0
100mA,0.02,0
100mA,0.05,0
100mA,0.08,0
10mA,-0.01,0
10mA,-0.007,0
10mA,-0.004,0
10mA,-0.001,0
10mA,0.002,0
10mA,0.005,0
10mA,0.008,0
1mA,-0.001,0
1mA,-0.0007,0
1mA,-0.0004,0
1mA,-0.0001,0
1mA,0.0002,0
1mA,0.0005,0
1mA,0.0008,0
100uA,-0.0001,0
100uA,-7E-05,0
100uA,-4E-05,0
100uA,-1E-05,0
100uA,2E-05,0
100uA,5E-05,0
100uA,8E-05,0
10uA,-1E-05,0
10uA,-7E-06,0
10uA,-4E-06,0
10uA,-1E-06,0
10uA,2E-06,0
10uA,5E-06,0
10uA,8E-06,0
1uA,-1E-06,0
1uA,-7E-07,0
1uA,-4E-07,0
1uA,-1E-07,0
1uA,2E-07,0
1uA,5E-07,0
1uA,8E-07,0
100nA,-1E-07,0
100nA,-7E-08,0
100nA,-4E-08,0
100nA,-1E-08,0
100nA,2E-08,0
100nA,5E-08,0
100nA,8E-08,0
10nA,-1E-08,0
10nA,-7E-09,0
10nA,-4E-09,0
10nA,-1E-09,0
10nA,2E-09,0
10nA,5E-09,0
10nA,8E-09,0
1nA,-1E-09,0
1nA,-7E-10,0
1nA,-4E-10,0
1nA,-1E-10,0
1nA,2E-10,0
1nA,5E-10,0
1nA,8E-10,0
